type,row_index,doc_id_before,doc_id_after,field,moved_to_keywords
doc_id_fix,40,FAO_042,FAO_042_i3720e,doc_id,
doc_id_fix,59,FAO_042,FAO_042_biosecurity_philippines,doc_id,
row_cleanup,1,,FAO_002,multi,
row_cleanup,3,,FAO_004,multi,
row_cleanup,4,,FAO_005,multi,
row_cleanup,6,,FAO_007,multi,
row_cleanup,7,,FAO_008,multi,
row_cleanup,8,,FAO_009,multi,
row_cleanup,10,,FAO_011,multi,
row_cleanup,11,,FAO_012,multi,
row_cleanup,12,,FAO_013,multi,
row_cleanup,13,,FAO_014,multi,
row_cleanup,14,,FAO_015,multi,
row_cleanup,15,,FAO_016,multi,
row_cleanup,16,,FAO_017,multi,
row_cleanup,17,,FAO_018,multi,
row_cleanup,18,,FAO_019,multi,
row_cleanup,19,,FAO_020,multi,
row_cleanup,20,,FAO_021,multi,
row_cleanup,21,,FAO_022,multi,
row_cleanup,22,,FAO_023,multi,
row_cleanup,23,,FAO_024,multi,
row_cleanup,24,,FAO_025,multi,
row_cleanup,25,,FAO_026,multi,
row_cleanup,26,,FAO_027,multi,
row_cleanup,27,,FAO_028,multi,
row_cleanup,28,,FAO_029,multi,
row_cleanup,29,,FAO_031,multi,
row_cleanup,30,,FAO_032,multi,
row_cleanup,31,,FAO_033,multi,
row_cleanup,33,,FAO_035,multi,
row_cleanup,34,,FAO_036,multi,
row_cleanup,35,,FAO_037,multi,
row_cleanup,36,,FAO_038,multi,
row_cleanup,37,,FAO_039,multi,
row_cleanup,38,,FAO_040,multi,
row_cleanup,39,,FAO_041,multi,
row_cleanup,40,,FAO_042_i3720e,multi,
row_cleanup,41,,NACA_001,multi,
row_cleanup,42,,NACA_002,multi,
row_cleanup,43,,NACA_003,multi,
row_cleanup,44,,TCTS_001,multi,
row_cleanup,45,,IJMS_001,multi,
row_cleanup,46,,BIOLOGY_001,multi,
row_cleanup,47,,PLOS_001,multi,
row_cleanup,48,,SEAFDEC_001,multi,
row_cleanup,54,,SEAFDEC_007,multi,
row_cleanup,57,,SEAFDEC_010,multi,
row_cleanup,59,,FAO_042_biosecurity_philippines,multi,
row_cleanup,60,,FAO_043,multi,
row_cleanup,61,,TCKHTS_001,multi,
row_cleanup,62,,FAO_044,multi,
row_cleanup,63,,FAO_045,multi,
row_cleanup,64,,PMC_001,multi,
row_cleanup,66,,PMC_003,multi,
row_cleanup,67,,PMC_004,multi,
row_cleanup,68,,PMC_005,multi,
row_cleanup,69,,PMC_006,multi,
row_cleanup,70,,PMC_007,multi,
row_cleanup,71,,PMC_008,multi,
row_cleanup,72,,PMC_009,multi,
row_cleanup,73,,PMC_010,multi,
row_cleanup,74,,PMC_011,multi,
row_cleanup,75,,PMC_012,multi,
row_cleanup,76,,PMC_013,multi,
row_cleanup,77,,PMC_014,multi,
row_cleanup,78,,PMC_015,multi,
row_cleanup,79,,PMC_016,multi,
row_cleanup,80,,PMC_017,multi,
row_cleanup,81,,PMC_018,multi,
row_cleanup,82,,PMC_019,multi,
row_cleanup,83,,PMC_020,multi,
row_cleanup,84,,PMC_021,multi,
row_cleanup,85,,PMC_022,multi,
row_cleanup,86,,PMC_023,multi,
row_cleanup,87,,PMC_024,multi,
row_cleanup,91,,PMC_028,multi,
row_cleanup,92,,PMC_029,multi,
row_cleanup,93,,PMC_030,multi,
row_cleanup,94,,PMC_031,multi,
row_cleanup,95,,PMC_032,multi,
row_cleanup,96,,PMC_033,multi,
row_cleanup,97,,PMC_034,multi,
row_cleanup,99,,PMC_036,multi,
